Prod;sucursal actual;Genero;Tipo de credito;Producto de credito;Plazo de credito;Tasa;Montos desembolsados;Tipo de tasa;Clase de deudor;municipio;Edad;MEDIA;MODA ;VARINZA
96;826;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;23,29;15.990.000,00;Tasa Fija;Antiguo;SINCELEJO;49;;;
96;253;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;18,52;7.000.000,00;Tasa Fija;Antiguo;CARTAGENA;69;;;
96;375;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;24,79;1.800.000,00;Tasa Fija;Antiguo;FUNDACION;59;;;
96;790;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;24,79;12.636.030,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;54;;;
96;378;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;17,2;43.064.310,00;Tasa Fija;Antiguo;FUSAGASUGA;52;;;
96;36;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;22,4;12.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;62;;;
96;356;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,6;40.000.000,00;Tasa Fija;Antiguo;ZIPAQUIRA;55;;;
96;306;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;20,82;6.500.000,00;Tasa Fija;Antiguo;CUCUTA;35;;;
96;42;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;28,83;1.560.366,87;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;47;;;
96;642;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,69;17.000.000,00;Tasa Fija;Antiguo;ARMENIA;57;;;
96;232;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;22,49;11.400.000,00;Tasa Fija;Antiguo;BUCARAMANGA;45;;;
96;557;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,25;48.000.000,00;Tasa Fija;Antiguo;MEDELLIN;43;;;
96;435;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,19;33.400.000,00;Tasa Fija;Antiguo;IBAGUE;29;;;
96;790;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;21,96;38.300.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;42;;;
96;317;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;22,14;16.455.920,14;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;42;;;
96;859;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,19;10.000.000,00;Tasa Fija;Antiguo;MEDELLIN;44;;;
96;135;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;20,82;4.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;44;;;
96;813;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;28,79;4.800.000,00;Tasa Fija;Antiguo;CALI;51;;;
96;453;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;24,79;6.500.000,00;Tasa Fija;Antiguo;PEREIRA;59;;;
96;344;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;25;99.900.000,00;Tasa Fija;Antiguo;MOSQUERA;41;;;
96;973;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;26,49;2.000.000,00;Tasa Fija;Antiguo;VALLEDUPAR;34;;;
96;187;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;27,24;10.700.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;32;;;
96;209;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;24,53;13.000.000,00;Tasa Fija;Antiguo;MADRID;27;;;
96;333;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;28,79;13.000.000,00;Tasa Fija;Antiguo;BUCARAMANGA;45;;;
96;138;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;26,7;13.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;40;;;
96;74;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;24,86;4.241.548,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;44;;;
96;21;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;28,83;3.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;34;;;
96;759;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;18,49;14.300.000,00;Tasa Fija;Antiguo;SABANALARGA;57;;;
96;530;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;22,99;4.000.000,00;Tasa Fija;Antiguo;MAGANGUE;64;;;
96;84;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;26,79;89.000.000,00;Tasa Fija;Antiguo;BARRANCABERMEJA;61;;;
96;280;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;28,8;26.900.000,00;Tasa Fija;Antiguo;CHINU;66;;;
96;87;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;24,89;21.600.000,00;Tasa Fija;Antiguo;BARRANCAS;59;;;
96;87;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;27,19;12.000.000,00;Tasa Fija;Antiguo;BARRANCAS;52;;;
96;87;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;28,83;10.000.000,00;Tasa Fija;Antiguo;BARRANCAS;68;;;
96;306;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;16,99;50.000.000,00;Tasa Fija;Antiguo;CUCUTA;63;;;
96;861;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;18,5;5.000.000,00;Tasa Fija;Antiguo;JAMUNDI;64;;;
96;64;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,25;58.000.000,00;Tasa Fija;Antiguo;ARAUCA;63;;;
96;197;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;17,6;40.867.626,54;Tasa Fija;Antiguo;BUCARAMANGA;60;;;
96;259;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;26,59;11.900.000,00;Tasa Fija;Antiguo;CARTAGO;52;;;
96;227;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;20,71;18.900.000,00;Tasa Fija;Antiguo;CALI;62;;;
96;198;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;22,09;100.000.000,00;Tasa Fija;Antiguo;BUENAVENTURA;55;;;
96;476;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;28,83;22.100.000,00;Tasa Fija;Antiguo;BARRANQUILLA;50;;;
96;382;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;28,29;2.600.000,00;Tasa Fija;Antiguo;FACATATIVA;62;;;
96;697;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;22,3;6.639.931,31;Tasa Fija;Antiguo;CUCUTA;54;;;
96;790;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20;70.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;46;;;
96;210;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,6;50.100.000,00;Tasa Fija;Antiguo;FLORIDABLANCA;51;;;
96;330;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;20,82;9.436.486,70;Tasa Fija;Antiguo;EL BANCO;58;;;
96;719;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;22,99;17.500.000,00;Tasa Fija;Antiguo;PLATO;53;;;
96;389;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;17,19;20.000.000,00;Tasa Fija;Antiguo;GIRARDOT;64;;;
96;419;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;17,6;2.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;54;;;
96;742;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;18,79;33.600.000,00;Tasa Fija;Antiguo;PUERTO LOPEZ;58;;;
